"File","Title","Description","Canonical","Robots","H1Count","OgUrl"
"404.html","Page Not Found | MJ Tech Hub","The requested page could not be found on MJ Tech Hub.","https://mjtechhub.github.io/index/404.html","","1","https://mjtechhub.github.io/index/404.html"
"about.html","About MJ Tech Hub | Practical IT Learning","Learn about MJ Tech Hub, a practical IT learning platform covering networking, Windows, Linux, servers, cybersecurity, cloud, commands and troubleshooting.","https://mjtechhub.github.io/index/about.html","","1","https://mjtechhub.github.io/index/about.html"
"cloud.html","Cloud | MJ Tech Hub","Cloud on MJ Tech Hub.","https://mjtechhub.github.io/index/cloud.html","","1","https://mjtechhub.github.io/index/cloud.html"
"commands.html","Command Library | MJ Tech Hub","A curated library of essential CLI commands for Windows, Linux, and Networking.","https://mjtechhub.github.io/index/commands.html","","1","https://mjtechhub.github.io/index/commands.html"
"cybersecurity.html","Cybersecurity | MJ Tech Hub","Cybersecurity on MJ Tech Hub.","https://mjtechhub.github.io/index/cybersecurity.html","","1","https://mjtechhub.github.io/index/cybersecurity.html"
"index.html","MJ Tech Hub | Learn Networking, Windows, Linux & IT","Your ultimate platform to Learn, Troubleshoot, and Build robust IT infrastructure and network environments.","https://mjtechhub.github.io/index/","","0","https://mjtechhub.github.io/index/"
"linux.html","Linux | MJ Tech Hub","Linux on MJ Tech Hub.","https://mjtechhub.github.io/index/linux.html","","1","https://mjtechhub.github.io/index/linux.html"
"networking.html","Networking Tutorials & Guides | MJ Tech Hub","Master computer networking with our comprehensive guides on TCP/IP, routing, switching, and network troubleshooting.","https://mjtechhub.github.io/index/networking.html","","1","https://mjtechhub.github.io/index/networking.html"
"quiz.html","Practice Quizzes | MJ Tech Hub","Test your IT knowledge with interactive practice quizzes for networking and system administration.","https://mjtechhub.github.io/index/quiz.html","","1","https://mjtechhub.github.io/index/quiz.html"
"resources.html","IT Resources & Cheat Sheets | MJ Tech Hub","Explore practical IT resources, command references, networking tutorials, troubleshooting guides and upcoming cheat sheets from MJ Tech Hub.","https://mjtechhub.github.io/index/resources.html","","1","https://mjtechhub.github.io/index/resources.html"
"servers.html","Servers | MJ Tech Hub","Servers on MJ Tech Hub.","https://mjtechhub.github.io/index/servers.html","","1","https://mjtechhub.github.io/index/servers.html"
"topics.html","Explore IT Topics | MJ Tech Hub","Browse our comprehensive library of tutorials covering Networking, Windows, Linux, Servers, and Cybersecurity.","https://mjtechhub.github.io/index/topics.html","","1","https://mjtechhub.github.io/index/topics.html"
"windows.html","Windows | MJ Tech Hub","Windows on MJ Tech Hub.","https://mjtechhub.github.io/index/windows.html","","1","https://mjtechhub.github.io/index/windows.html"
"components/footer.html","","","","","0",""
"components/header.html","","","","","0",""
"legal/disclaimer.html","Disclaimer | MJ Tech Hub","Disclaimer for MJ Tech Hub.","https://mjtechhub.github.io/index/legal/disclaimer.html","","1",""
"legal/privacy.html","Privacy Policy | MJ Tech Hub","Privacy Policy for MJ Tech Hub.","https://mjtechhub.github.io/index/legal/privacy.html","","1",""
"legal/terms.html","Terms of Service | MJ Tech Hub","Terms of Service for MJ Tech Hub - Your IT Educational Resource.","https://mjtechhub.github.io/index/legal/terms.html","","1",""
"tutorials/networking/access-control-lists-explained.html","Access Control Lists (ACLs) Explained | Networking Tutorial | MJ Tech Hub","Learn about Access Control Lists (ACLs) Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/access-control-lists-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/access-control-lists-explained.html"
"tutorials/networking/access-port-vs-trunk-port.html","Access Port vs Trunk Port | Networking Tutorial | MJ Tech Hub","Learn the difference between access ports and trunk ports in VLAN configurations.","https://mjtechhub.github.io/index/tutorials/networking/access-port-vs-trunk-port.html","","1","https://mjtechhub.github.io/index/tutorials/networking/access-port-vs-trunk-port.html"
"tutorials/networking/advanced-dns-troubleshooting.html","Advanced DNS Troubleshooting | Networking Tutorial | MJ Tech Hub","Learn about Advanced DNS Troubleshooting in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/advanced-dns-troubleshooting.html","","1","https://mjtechhub.github.io/index/tutorials/networking/advanced-dns-troubleshooting.html"
"tutorials/networking/advanced-vlan-troubleshooting.html","Advanced VLAN Troubleshooting | Networking Tutorial | MJ Tech Hub","Learn about Advanced VLAN Troubleshooting in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/advanced-vlan-troubleshooting.html","","1","https://mjtechhub.github.io/index/tutorials/networking/advanced-vlan-troubleshooting.html"
"tutorials/networking/bandwidth-vs-throughput-explained.html","Bandwidth vs Throughput Explained | Networking Tutorial | MJ Tech Hub","Learn about Bandwidth vs Throughput Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/bandwidth-vs-throughput-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/bandwidth-vs-throughput-explained.html"
"tutorials/networking/bgp-basics.html","BGP Basics | Networking Tutorial | MJ Tech Hub","Learn about BGP Basics in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/bgp-basics.html","","1","https://mjtechhub.github.io/index/tutorials/networking/bgp-basics.html"
"tutorials/networking/common-network-ports.html","Common Network Ports | Networking Tutorial | MJ Tech Hub","A quick reference guide for essential TCP and UDP ports.","https://mjtechhub.github.io/index/tutorials/networking/common-network-ports.html","","1","https://mjtechhub.github.io/index/tutorials/networking/common-network-ports.html"
"tutorials/networking/dhcp-relay-ip-helper-explained.html","DHCP Relay / IP Helper Explained | Networking Tutorial | MJ Tech Hub","Learn about DHCP Relay / IP Helper Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/dhcp-relay-ip-helper-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/dhcp-relay-ip-helper-explained.html"
"tutorials/networking/dhcp-troubleshooting-guide.html","DHCP Troubleshooting Guide | Networking Tutorial | MJ Tech Hub","Learn how to diagnose and resolve DHCP IP assignment failures.","https://mjtechhub.github.io/index/tutorials/networking/dhcp-troubleshooting-guide.html","","1","https://mjtechhub.github.io/index/tutorials/networking/dhcp-troubleshooting-guide.html"
"tutorials/networking/dns-record-types-explained.html","DNS Record Types Explained | Networking Tutorial | MJ Tech Hub","Learn about DNS Record Types Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/dns-record-types-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/dns-record-types-explained.html"
"tutorials/networking/dns-troubleshooting-guide.html","DNS Troubleshooting Guide | Networking Tutorial | MJ Tech Hub","A practical step-by-step guide to troubleshooting DNS name resolution issues.","https://mjtechhub.github.io/index/tutorials/networking/dns-troubleshooting-guide.html","","1","https://mjtechhub.github.io/index/tutorials/networking/dns-troubleshooting-guide.html"
"tutorials/networking/duplex-mismatch-and-speed-negotiation.html","Duplex Mismatch & Speed Negotiation | Networking Tutorial | MJ Tech Hub","Learn about Duplex Mismatch & Speed Negotiation in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/duplex-mismatch-and-speed-negotiation.html","","1","https://mjtechhub.github.io/index/tutorials/networking/duplex-mismatch-and-speed-negotiation.html"
"tutorials/networking/enterprise-network-troubleshooting-case-studies.html","Enterprise Network Troubleshooting Case Studies | Networking Tutorial | MJ Tech Hub","Learn about Enterprise Network Troubleshooting Case Studies in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/enterprise-network-troubleshooting-case-studies.html","","1","https://mjtechhub.github.io/index/tutorials/networking/enterprise-network-troubleshooting-case-studies.html"
"tutorials/networking/hub-vs-switch.html","Hub vs Switch | Networking Tutorial | MJ Tech Hub","Learn why modern networks use Switches instead of legacy Hubs.","https://mjtechhub.github.io/index/tutorials/networking/hub-vs-switch.html","","1","https://mjtechhub.github.io/index/tutorials/networking/hub-vs-switch.html"
"tutorials/networking/icmp-explained.html","ICMP Explained | Networking Tutorial | MJ Tech Hub","Understand the Internet Control Message Protocol used for network diagnostics.","https://mjtechhub.github.io/index/tutorials/networking/icmp-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/icmp-explained.html"
"tutorials/networking/ipv6-fundamentals.html","IPv6 Fundamentals | Networking Tutorial | MJ Tech Hub","Learn about IPv6 Fundamentals in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/ipv6-fundamentals.html","","1","https://mjtechhub.github.io/index/tutorials/networking/ipv6-fundamentals.html"
"tutorials/networking/jitter-explained.html","Jitter Explained | Networking Tutorial | MJ Tech Hub","Learn about Jitter Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/jitter-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/jitter-explained.html"
"tutorials/networking/lacp-link-aggregation-explained.html","LACP / Link Aggregation Explained | Networking Tutorial | MJ Tech Hub","Learn about LACP / Link Aggregation Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/lacp-link-aggregation-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/lacp-link-aggregation-explained.html"
"tutorials/networking/lan-vs-wan.html","LAN vs WAN | Networking Tutorial | MJ Tech Hub","Networks are categorized by their geographic scope. The two most common types are LAN and WAN.","https://mjtechhub.github.io/index/tutorials/networking/lan-vs-wan.html","","1","https://mjtechhub.github.io/index/tutorials/networking/lan-vs-wan.html"
"tutorials/networking/mtu-and-mss-explained.html","MTU and MSS Explained | Networking Tutorial | MJ Tech Hub","Learn about MTU and MSS Explained in this Networking tutorial.","https://mjtechhub.github.io/index/tutorials/networking/mtu-and-mss-explained.html","","1","https://mjtechhub.github.io/index/tutorials/networking/mtu-and-mss-explained.html"
